,mitosis1,mitosis2,mitosis3,division1,division2,division3,apoptosis,Of of View,END,Remarks
0,30,0,0,0,0,0,0,0,74,Remarks: 
1,19,0,0,0,0,0,54,0,0,Remarks: 
2,10,0,0,0,0,0,63,0,0,Remarks: 
3,20,0,0,0,0,0,41,0,0,Remarks: 
4,39,0,0,0,0,0,65,0,0,Remarks: 
5,12,0,0,0,0,0,44,0,0,Remarks: 
6,30,0,0,0,0,0,61,0,0,Remarks: 
7,22,0,0,0,0,0,47,0,0,Remarks: 
8,29,0,0,0,0,0,39,0,0,Remarks: 
9,46,0,0,0,0,0,65,0,0,Remarks: 
10,10,0,0,0,0,0,59,0,0,Remarks: 
11,46,0,0,0,0,0,0,0,74,Remarks: 74| 
12,7,0,0,0,0,0,74,0,0,Remarks: 
13,52,0,0,0,0,0,71,0,0,Remarks: 
14,24,0,0,0,0,0,65,0,0,Remarks: 
15,23,0,0,0,0,0,72,0,0,Remarks: 
16,8,0,0,0,0,0,44,0,0,Remarks: 
17,23,0,0,0,0,0,59,0,0,Remarks: 
18,25,0,0,0,0,0,63,0,0,Remarks: 
19,30,0,0,0,0,0,61,0,0,Remarks: 
20,26,0,0,0,0,0,54,0,0,Remarks: 
21,32,0,0,0,0,0,50,0,0,Remarks: 
22,21,0,0,0,0,0,52,0,0,Remarks: 
23,0,0,0,0,0,0,37,0,0,Remarks: 
24,9,0,0,0,0,0,58,0,0,Remarks: 
25,33,0,0,0,0,0,67,0,0,Remarks: 
26,16,0,0,0,0,0,67,0,0,Remarks: 
27,19,0,0,0,0,0,50,0,0,Remarks: 
28,29,0,0,0,0,0,65,0,0,Remarks: 
29,18,0,0,0,0,0,45,0,0,Remarks: 
30,31,0,0,0,0,0,66,0,0,Remarks: 
31,0,0,0,0,0,0,30,0,0,Remarks: 
32,29,0,0,0,0,0,58,0,0,Remarks: 
33,28,0,0,0,0,0,50,0,0,Remarks: 
34,27,0,0,0,0,0,35,0,0,Remarks: 
35,26,0,0,0,0,0,49,0,0,Remarks: 
36,29,0,0,0,0,0,56,0,0,Remarks: 
37,31,0,0,0,0,0,47,0,0,Remarks: 
38,25,0,0,0,0,0,50,0,0,Remarks: 
39,34,0,0,0,0,0,53,0,0,Remarks: 
40,0,0,0,0,0,0,72,0,0,Remarks: 
41,31,0,0,0,0,0,65,0,0,Remarks: 
42,29,0,0,0,0,0,45,0,0,Remarks: 
43,9,0,0,0,0,0,44,0,0,Remarks: 
44,11,0,0,0,0,0,24,0,0,Remarks: 
45,25,0,0,0,0,0,65,0,0,Remarks: 
46,23,0,0,0,0,0,56,0,0,Remarks: 
47,6,0,0,0,0,0,42,0,0,Remarks: 
48,22,0,0,0,0,0,32,0,0,Remarks: 
49,26,0,0,0,0,0,43,0,0,Remarks: 
50,29,0,0,0,0,0,45,0,0,Remarks: 
51,23,0,0,0,0,0,43,0,0,Remarks: 
52,29,0,0,0,0,0,49,0,0,Remarks: 
53,10,0,0,0,0,0,42,0,0,Remarks: 
