LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID64256,64256,0,16.574356079101562,337.8987296657417,677.4522033553118,0.0,0.0,0,7.5,1,,6154.4547028274665,9366.0,0.0,11235.0,1.066567E7,4667.088885848941,0.1858178728697826,0.4132786740529844
ID66307,66307,0,52.621726989746094,343.524859346758,677.4522033553118,0.0,13231.8625186,22,7.5,1,,9058.348528563185,11310.0,0.0,19761.0,1.5698118E7,7211.865215820395,0.3782756166033782,0.6894514599410793
ID68867,68867,0,30.984437942504883,345.9543812010835,669.9213626386643,0.0,21652.1386668,36,7.5,1,,12323.125793421812,12584.0,8210.0,14881.0,2.1355977E7,1420.9010604749355,0.3384071260226805,4.3856937145574
ID65794,65794,0,23.74483299255371,338.2296784705074,677.4522033553118,0.0,10224.621037100002,17,7.5,1,,7233.0311598384305,10058.0,0.0,14722.0,1.2534843E7,5616.448801400341,0.20005316665457987,0.42937175319758497
ID67337,67337,0,53.8243293762207,345.51055217535196,677.4522033553118,0.0,13833.3108149,23,7.5,1,,8744.080784766302,9864.0,0.0,23826.0,1.5153492E7,7557.679031053547,0.36143070669138183,0.6143066522925387
ID67849,67849,0,55.93278121948242,344.74579606902864,668.8989058909443,0.0,17442.000592700002,29,7.5,1,,13418.736295441431,12059.0,6591.0,25593.0,2.325467E7,5181.42287454905,0.38280705319382646,1.4338737719044214
ID66824,66824,0,34.63640213012695,342.6022481957977,667.606997833053,0.0,12028.965926,20,7.5,1,,12351.832660126947,12520.0,8407.0,16058.0,2.1405726E7,1511.787143383739,0.30162990404825046,3.7866714528821817
ID68360,68360,0,58.66535949707031,346.50339858964895,677.4522033553118,0.0,18644.8971853,31,7.5,1,,8517.69936526255,8293.0,0.0,26816.0,1.4761173E7,7803.257925800246,0.36896831404703107,0.5883991228282306
ID71569,71569,0,80.98799896240234,345.1530308808484,676.9262324712731,0.0,31275.311407600002,52,7.5,1,,11719.58511252164,10320.0,0.0,41635.0,2.0310041E7,10802.053376260892,0.4822248734055347,0.7059459075957195
ID71061,71061,0,71.95244598388672,345.02142658248846,673.8099068392658,0.0,28869.518222400002,48,7.5,1,,13376.205424120024,10708.0,0.0,39835.0,2.3180964E7,8918.12904823966,0.5043310154349083,1.0056837682790174
ID72084,72084,0,90.94412231445312,344.51770576105497,677.4522033553118,0.0,30072.414815000004,50,7.5,1,,11308.107905366416,9846.0,0.0,40595.0,1.9596951E7,11092.47735999489,0.478628745156026,0.6599803747383307
ID74132,74132,0,84.82572174072266,345.51055217535196,677.4522033553118,0.0,36086.897778,60,7.5,1,,10978.201384881708,9543.0,0.0,39113.0,1.9025223E7,10730.147286781561,0.46970886309665955,0.6539626537270633
ID73623,73623,0,84.69453430175781,345.1796033705863,677.4522033553118,0.0,36688.3460743,61,7.5,1,,10919.684939411425,9505.0,0.0,39994.0,1.8923814E7,10685.470851628543,0.46755529971887416,0.6511558531436112
ID74646,74646,0,77.0169906616211,343.06517017895874,675.7830158405119,0.0,41499.9324447,69,7.5,1,,12250.41257934218,10910.0,0.0,39005.0,2.1229965E7,9803.085766955004,0.5071743989659557,0.8410304568756453
ID70553,70553,0,67.84770965576172,343.5614878625077,672.2802508724543,0.0,27065.173333500003,45,7.5,1,,14280.862665897288,11805.0,0.0,35455.0,2.4748735E7,7248.002767319949,0.4975954987917547,1.3093266419994496
ID73112,73112,0,84.28573608398438,345.1796033705863,677.4522033553118,0.0,37891.242666900005,63,7.5,1,,10952.68436237738,9485.0,0.0,39708.0,1.8981002E7,10701.648413374429,0.46914340808866906,0.6536440567903339
ID62875,62875,0,13.812531471252441,337.6446480177429,668.1897180463754,0.0,1202.8965926,2,7.5,1,,9634.63242931333,9628.0,8071.0,10790.0,1.6696818E7,430.54357852881463,0.17502840989318658,6.6666585192741845
ID72602,72602,0,90.09002685546875,345.51055217535196,677.4522033553118,0.0,34884.001185400004,58,7.5,1,,11205.814195037507,10068.0,0.0,40126.0,1.9419676E7,10910.927648631816,0.4797524053019407,0.6659472702338863
ID70049,70049,0,42.411006927490234,343.31215492567054,669.516581015765,0.0,24659.380148300002,41,7.5,1,,12917.649163300635,12693.0,7469.0,19260.0,2.2386286E7,2806.745611907202,0.36349944112208843,2.4539132842828977
ID75170,75170,0,72.53790283203125,343.96791877461305,673.7976362567083,0.0,43304.2773336,72,7.5,1,,13422.0346220427,11049.0,0.0,37959.0,2.3260386E7,8709.076423483191,0.5163878675387302,1.0496438797503092
ID64420,64420,0,15.4683837890625,340.1837900084442,666.0050362866695,0.0,2405.7931852,4,7.5,1,,9729.635314483554,9705.0,8441.0,10943.0,1.6861458E7,390.58463723570327,0.1376474053297303,6.027979260007395
ID63396,63396,0,12.70168685913086,341.68680563219783,666.1623976024973,0.0,4811.5863704,8,7.5,1,,9457.867282169647,9454.0,8213.0,10380.0,1.6390484E7,332.5152547117083,0.1215938033613607,6.167192136089454
ID64932,64932,0,17.318418502807617,342.0691216045636,668.3024119230586,0.0,9623.1727408,16,7.5,1,,9979.32602423543,9984.0,7243.0,11994.0,1.7294172E7,797.7633908067563,0.19175707550656676,4.025508636796709
