,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.1,1,0.998783911,0.470967742,73,79,3
1,0.1,2,0.998783911,0.496598639,73,71,3
2,0.1,3,0.998783911,0.532846715,73,61,3
3,0.1,4,0.998783911,0.544776119,73,58,3
4,0.1,5,0.998783911,0.57480315,73,51,3
5,0.1,6,0.998783911,0.613445378,73,43,3
6,0.1,7,0.998783911,0.657657658,73,35,3
7,0.1,8,0.998783911,0.675925926,73,32,3
8,0.1,9,0.998783911,0.695238095,73,29,3
9,0.1,10,0.998783911,0.737373737,73,23,3
10,0.1,11,0.998783911,0.760416667,73,20,3
11,0.1,12,0.998745551,0.774193548,72,17,4
12,0.1,13,0.998745551,0.791208791,72,15,4
13,0.1,14,0.998745551,0.8,72,14,4
14,0.1,15,0.998745551,0.808988764,72,13,4
15,0.1,16,0.998745551,0.808988764,72,13,4
16,0.1,17,0.998699504,0.806818182,71,12,5
17,0.1,18,0.998699504,0.816091954,71,11,5
18,0.1,19,0.998754517,0.823529412,70,9,6
19,0.1,20,0.998754517,0.823529412,70,9,6
20,0.1,21,0.998754517,0.823529412,70,9,6
21,0.1,22,0.960480656,0.831325301,69,7,7
22,0.1,23,0.95954885,0.819277108,68,7,8
23,0.1,24,0.957369833,0.807228916,67,7,9
24,0.1,25,0.957369833,0.807228916,67,7,9
25,0.1,26,0.957369833,0.807228916,67,7,9
26,0.1,27,0.957369833,0.807228916,67,7,9
27,0.1,28,0.957369833,0.807228916,67,7,9
28,0.1,29,0.998760725,0.795180723,66,7,10
29,0.1,30,0.998760725,0.795180723,66,7,10
30,0.1,31,0.99887969,0.771084337,64,7,12
31,0.1,32,0.99887969,0.771084337,64,7,12
32,0.1,33,0.998862858,0.759036145,63,7,13
33,0.1,34,0.99890664,0.734939759,61,7,15
34,0.1,35,0.998896328,0.722891566,60,7,16
35,0.1,36,0.998890795,0.698795181,58,7,18
36,0.1,37,0.998890533,0.682926829,56,6,20
37,0.1,38,0.998885253,0.666666667,54,5,22
38,0.1,39,0.998770374,0.654320988,53,5,23
39,0.1,40,0.998770374,0.654320988,53,5,23
40,0.1,41,0.998770374,0.654320988,53,5,23
41,0.1,42,0.998643688,0.617283951,50,5,26
42,0.1,43,0.998620559,0.567901235,46,5,30
43,0.1,44,0.998635288,0.543209877,44,5,32
44,0.1,45,0.998635288,0.543209877,44,5,32
45,0.1,46,0.998521437,0.49382716,40,5,36
46,0.1,47,0.998496928,0.481481481,39,5,37
47,0.1,48,0.998495813,0.475,38,4,38
48,0.1,49,0.999014806,0.4125,33,4,43
49,0.1,50,0.999011266,0.3875,31,4,45
50,0.2,1,0.999294056,0.437125749,73,91,3
51,0.2,2,0.999294056,0.467948718,73,80,3
52,0.2,3,0.999294056,0.51048951,73,67,3
53,0.2,4,0.999294056,0.540740741,73,59,3
54,0.2,5,0.999294056,0.565891473,73,53,3
55,0.2,6,0.999294056,0.608333333,73,44,3
56,0.2,7,0.999294056,0.646017699,73,37,3
57,0.2,8,0.999294056,0.669724771,73,33,3
58,0.2,9,0.999294056,0.701923077,73,28,3
59,0.2,10,0.999294056,0.722772277,73,25,3
60,0.2,11,0.999294056,0.744897959,73,22,3
61,0.2,12,0.999294056,0.760416667,73,20,3
62,0.2,13,0.999294056,0.776595745,73,18,3
63,0.2,14,0.999294056,0.793478261,73,16,3
64,0.2,15,0.999294056,0.793478261,73,16,3
65,0.2,16,0.999294056,0.820224719,73,13,3
66,0.2,17,0.999294056,0.820224719,73,13,3
67,0.2,18,0.999294056,0.829545455,73,12,3
68,0.2,19,0.999294056,0.83908046,73,11,3
69,0.2,20,0.999294056,0.83908046,73,11,3
70,0.2,21,0.999305249,0.827586207,72,11,4
71,0.2,22,0.999305249,0.847058824,72,9,4
72,0.2,23,0.999305249,0.857142857,72,8,4
73,0.2,24,0.999305249,0.86746988,72,7,4
74,0.2,25,0.999305249,0.86746988,72,7,4
75,0.2,26,0.999305249,0.86746988,72,7,4
76,0.2,27,0.999305249,0.86746988,72,7,4
77,0.2,28,0.999275652,0.855421687,71,7,5
78,0.2,29,0.999246651,0.843373494,70,7,6
79,0.2,30,0.999226766,0.819277108,68,7,8
80,0.2,31,0.999226766,0.819277108,68,7,8
81,0.2,32,0.999226766,0.819277108,68,7,8
82,0.2,33,0.999226766,0.819277108,68,7,8
83,0.2,34,0.999237957,0.817073171,67,6,9
84,0.2,35,0.999237957,0.817073171,67,6,9
85,0.2,36,0.999230951,0.804878049,66,6,10
86,0.2,37,0.999230951,0.804878049,66,6,10
87,0.2,38,0.999259975,0.780487805,64,6,12
88,0.2,39,0.999259975,0.780487805,64,6,12
89,0.2,40,0.999259975,0.780487805,64,6,12
90,0.2,41,0.999259975,0.780487805,64,6,12
91,0.2,42,0.999259975,0.780487805,64,6,12
92,0.2,43,0.999252739,0.768292683,63,6,13
93,0.2,44,0.999214433,0.756097561,62,6,14
94,0.2,45,0.999214433,0.765432099,62,5,14
95,0.2,46,0.999214433,0.765432099,62,5,14
96,0.2,47,0.999214433,0.765432099,62,5,14
97,0.2,48,0.99921504,0.740740741,60,5,16
98,0.2,49,0.99921504,0.740740741,60,5,16
99,0.2,50,0.999051331,0.691358025,56,5,20
100,0.3,1,0.999433911,0.424418605,73,96,3
101,0.3,2,0.999433911,0.459119497,73,83,3
102,0.3,3,0.999433911,0.506944444,73,68,3
103,0.3,4,0.999433911,0.521428571,73,64,3
104,0.3,5,0.999433911,0.565891473,73,53,3
105,0.3,6,0.999433911,0.593495935,73,47,3
106,0.3,7,0.999433911,0.613445378,73,43,3
107,0.3,8,0.999433911,0.618644068,73,42,3
108,0.3,9,0.999433911,0.682242991,73,31,3
109,0.3,10,0.999433911,0.688679245,73,30,3
110,0.3,11,0.999433911,0.701923077,73,28,3
111,0.3,12,0.999433911,0.73,73,24,3
112,0.3,13,0.999433911,0.744897959,73,22,3
113,0.3,14,0.999433911,0.776595745,73,18,3
114,0.3,15,0.999433911,0.802197802,73,15,3
115,0.3,16,0.999433911,0.811111111,73,14,3
116,0.3,17,0.999433911,0.811111111,73,14,3
117,0.3,18,0.999433911,0.811111111,73,14,3
118,0.3,19,0.999433911,0.829545455,73,12,3
119,0.3,20,0.999433911,0.829545455,73,12,3
120,0.3,21,0.999433911,0.83908046,73,11,3
