,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.1,1,0.9971747667780211,0.4533333333333333,34,37,4
1,0.1,2,0.9971747667780211,0.4788732394366197,34,33,4
2,0.1,3,0.9971747667780211,0.5074626865671642,34,29,4
3,0.1,4,0.9971747667780211,0.53125,34,26,4
4,0.1,5,0.9971747667780211,0.5666666666666667,34,22,4
5,0.1,6,0.9971747667780211,0.5862068965517241,34,20,4
6,0.1,7,0.9971747667780211,0.6415094339622641,34,15,4
7,0.1,8,0.9971747667780211,0.68,34,12,4
8,0.1,9,0.9971747667780211,0.7083333333333334,34,10,4
9,0.1,10,0.9971747667780211,0.7555555555555555,34,7,4
10,0.1,11,0.9971747667780211,0.7727272727272727,34,6,4
11,0.1,12,0.9971747667780211,0.7727272727272727,34,6,4
12,0.1,13,0.9971747667780211,0.7727272727272727,34,6,4
13,0.1,14,0.9971747667780211,0.7727272727272727,34,6,4
14,0.1,15,0.9971747667780211,0.7727272727272727,34,6,4
15,0.1,16,0.9971747667780211,0.7727272727272727,34,6,4
16,0.1,17,0.9971747667780211,0.7727272727272727,34,6,4
17,0.1,18,0.9971747667780211,0.7727272727272727,34,6,4
18,0.1,19,0.9971747667780211,0.7727272727272727,34,6,4
19,0.1,20,0.9971747667780211,0.7906976744186046,34,5,4
20,0.1,21,0.9971747667780211,0.7906976744186046,34,5,4
21,0.1,22,0.9173312979101585,0.8095238095238095,34,4,4
22,0.1,23,0.9173312979101585,0.8292682926829268,34,3,4
23,0.1,24,0.9173312979101585,0.8292682926829268,34,3,4
24,0.1,25,0.9173312979101585,0.8292682926829268,34,3,4
25,0.1,26,0.903859304998831,0.7804878048780488,32,3,6
26,0.1,27,0.903859304998831,0.8,32,2,6
27,0.1,28,0.903859304998831,0.8,32,2,6
28,0.1,29,0.903859304998831,0.8,32,2,6
29,0.1,30,0.903859304998831,0.8,32,2,6
30,0.1,31,0.903859304998831,0.8,32,2,6
31,0.1,32,0.9001322002758846,0.75,30,2,8
32,0.1,33,0.8873203162792032,0.725,29,2,9
33,0.1,34,0.8867044903755418,0.7,28,2,10
34,0.1,35,0.8867044903755418,0.7,28,2,10
35,0.1,36,0.8867044903755418,0.7,28,2,10
36,0.1,37,0.8803849000476199,0.675,27,2,11
37,0.1,38,0.8803849000476199,0.6923076923076923,27,1,11
38,0.1,39,0.8803849000476199,0.6923076923076923,27,1,11
39,0.1,40,0.8803849000476199,0.6923076923076923,27,1,11
40,0.1,41,0.859272648270434,0.6666666666666666,26,1,12
41,0.1,42,0.8594930776460364,0.6410256410256411,25,1,13
42,0.1,43,0.8594930776460364,0.6578947368421053,25,0,13
43,0.1,44,0.8594930776460364,0.6578947368421053,25,0,13
44,0.1,45,0.854161991318245,0.5789473684210527,22,0,16
45,0.1,46,0.854161991318245,0.5789473684210527,22,0,16
46,0.1,47,0.837008893103581,0.5263157894736842,20,0,18
47,0.1,48,0.82354585994714,0.5,19,0,19
48,0.1,49,0.8124535403605846,0.4473684210526316,17,0,21
49,0.1,50,0.8124535403605846,0.4473684210526316,17,0,21
50,0.2,1,0.9987743847827522,0.4358974358974359,34,40,4
51,0.2,2,0.9987743847827522,0.4473684210526316,34,38,4
52,0.2,3,0.9987743847827522,0.4594594594594595,34,36,4
53,0.2,4,0.9987743847827522,0.4857142857142857,34,32,4
54,0.2,5,0.9987743847827522,0.5074626865671642,34,29,4
55,0.2,6,0.9987743847827522,0.5666666666666667,34,22,4
56,0.2,7,0.9987743847827522,0.6071428571428571,34,18,4
57,0.2,8,0.9987743847827522,0.6415094339622641,34,15,4
58,0.2,9,0.9987743847827522,0.6666666666666666,34,13,4
59,0.2,10,0.9987743847827522,0.6938775510204082,34,11,4
60,0.2,11,0.9987743847827522,0.7083333333333334,34,10,4
61,0.2,12,0.9987743847827522,0.723404255319149,34,9,4
62,0.2,13,0.9987743847827522,0.723404255319149,34,9,4
63,0.2,14,0.9987743847827522,0.723404255319149,34,9,4
64,0.2,15,0.9987743847827522,0.7391304347826086,34,8,4
65,0.2,16,0.9987743847827522,0.7391304347826086,34,8,4
66,0.2,17,0.9987743847827522,0.7391304347826086,34,8,4
67,0.2,18,0.9987743847827522,0.7391304347826086,34,8,4
68,0.2,19,0.9987743847827522,0.7391304347826086,34,8,4
69,0.2,20,0.9987743847827522,0.7555555555555555,34,7,4
70,0.2,21,0.9987743847827522,0.7555555555555555,34,7,4
71,0.2,22,0.9987743847827522,0.7555555555555555,34,7,4
72,0.2,23,0.9987743847827522,0.7727272727272727,34,6,4
73,0.2,24,0.9987743847827522,0.7906976744186046,34,5,4
74,0.2,25,0.9987743847827522,0.7906976744186046,34,5,4
75,0.2,26,0.9987743847827522,0.7906976744186046,34,5,4
76,0.2,27,0.9987743847827522,0.8095238095238095,34,4,4
77,0.2,28,0.9987743847827522,0.8095238095238095,34,4,4
78,0.2,29,0.9987743847827522,0.8292682926829268,34,3,4
79,0.2,30,0.9987743847827522,0.8292682926829268,34,3,4
80,0.2,31,0.9987743847827522,0.8292682926829268,34,3,4
81,0.2,32,0.8723401264578893,0.85,34,2,4
82,0.2,33,0.8723401264578893,0.85,34,2,4
83,0.2,34,0.8723401264578893,0.85,34,2,4
84,0.2,35,0.8723401264578893,0.85,34,2,4
85,0.2,36,0.8723401264578893,0.85,34,2,4
86,0.2,37,0.8723401264578893,0.85,34,2,4
87,0.2,38,0.8693942268469785,0.825,33,2,5
88,0.2,39,0.8693942268469785,0.825,33,2,5
89,0.2,40,0.8693942268469785,0.825,33,2,5
90,0.2,41,0.8693942268469785,0.825,33,2,5
91,0.2,42,0.8693942268469785,0.8461538461538461,33,1,5
92,0.2,43,0.8693942268469785,0.8461538461538461,33,1,5
93,0.2,44,0.8693942268469785,0.8461538461538461,33,1,5
94,0.2,45,0.8693942268469785,0.8461538461538461,33,1,5
95,0.2,46,0.8574211303537059,0.8205128205128205,32,1,6
96,0.2,47,0.8414300868298193,0.7692307692307693,30,1,8
97,0.2,48,0.8414300868298193,0.7692307692307693,30,1,8
98,0.2,49,0.8394712997035635,0.7435897435897436,29,1,9
99,0.2,50,0.8394712997035635,0.7435897435897436,29,1,9
100,0.3,1,0.998922582891289,0.425,34,42,4
101,0.3,2,0.998922582891289,0.4473684210526316,34,38,4
102,0.3,3,0.998922582891289,0.4533333333333333,34,37,4
103,0.3,4,0.998922582891289,0.4657534246575342,34,35,4
104,0.3,5,0.998922582891289,0.4722222222222222,34,34,4
105,0.3,6,0.998922582891289,0.53125,34,26,4
106,0.3,7,0.998922582891289,0.53125,34,26,4
107,0.3,8,0.998922582891289,0.5573770491803278,34,23,4
108,0.3,9,0.998922582891289,0.576271186440678,34,21,4
109,0.3,10,0.998922582891289,0.6415094339622641,34,15,4
110,0.3,11,0.998922582891289,0.6666666666666666,34,13,4
111,0.3,12,0.998922582891289,0.7083333333333334,34,10,4
112,0.3,13,0.998922582891289,0.723404255319149,34,9,4
113,0.3,14,0.998922582891289,0.723404255319149,34,9,4
114,0.3,15,0.998922582891289,0.723404255319149,34,9,4
115,0.3,16,0.998922582891289,0.723404255319149,34,9,4
116,0.3,17,0.998922582891289,0.723404255319149,34,9,4
117,0.3,18,0.998922582891289,0.7391304347826086,34,8,4
118,0.3,19,0.998922582891289,0.7391304347826086,34,8,4
119,0.3,20,0.998922582891289,0.7391304347826086,34,8,4
120,0.3,21,0.998922582891289,0.7391304347826086,34,8,4
121,0.3,22,0.998922582891289,0.7391304347826086,34,8,4
122,0.3,23,0.998922582891289,0.7391304347826086,34,8,4
123,0.3,24,0.998922582891289,0.7555555555555555,34,7,4
124,0.3,25,0.998922582891289,0.7727272727272727,34,6,4
125,0.3,26,0.998922582891289,0.7727272727272727,34,6,4
126,0.3,27,0.998922582891289,0.7727272727272727,34,6,4
127,0.3,28,0.998922582891289,0.7727272727272727,34,6,4
128,0.3,29,0.998922582891289,0.7906976744186046,34,5,4
129,0.3,30,0.998922582891289,0.7906976744186046,34,5,4
130,0.3,31,0.998922582891289,0.7906976744186046,34,5,4
131,0.3,32,0.998922582891289,0.8095238095238095,34,4,4
132,0.3,33,0.998922582891289,0.8095238095238095,34,4,4
133,0.3,34,0.998922582891289,0.8095238095238095,34,4,4
134,0.3,35,0.998922582891289,0.8095238095238095,34,4,4
135,0.3,36,0.998922582891289,0.8095238095238095,34,4,4
136,0.3,37,0.998922582891289,0.8095238095238095,34,4,4
137,0.3,38,0.998922582891289,0.8095238095238095,34,4,4
138,0.3,39,0.998922582891289,0.8095238095238095,34,4,4
139,0.3,40,0.998922582891289,0.8292682926829268,34,3,4
140,0.3,41,0.998922582891289,0.8292682926829268,34,3,4
141,0.3,42,0.998922582891289,0.85,34,2,4
142,0.3,43,0.998922582891289,0.85,34,2,4
143,0.3,44,0.9989020443764052,0.825,33,2,5
144,0.3,45,0.9116168118585619,0.8461538461538461,33,1,5
145,0.3,46,0.9116168118585619,0.8461538461538461,33,1,5
146,0.3,47,0.9116168118585619,0.8461538461538461,33,1,5
147,0.3,48,0.9030993104584536,0.8205128205128205,32,1,6
148,0.3,49,0.9030993104584536,0.8205128205128205,32,1,6
149,0.3,50,0.9030993104584536,0.8205128205128205,32,1,6
150,0.4,1,0.998788232363258,0.41975308641975306,34,43,4
151,0.4,2,0.998788232363258,0.44155844155844154,34,39,4
