,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing,Score
0,0.5,0,0.979074308,0.553672316,98,70,9,1.532746625
1,0.5,25,0.972927875,0.644736842,98,44,10,1.617664717
2,0.5,50,0.972927875,0.736842105,98,24,11,1.709769981
3,0.5,75,0.971824169,0.776,97,14,14,1.747824169
4,0.5,100,0.992046206,0.764227642,94,12,17,1.756273848
5,0.5,125,0.991593705,0.754098361,92,9,21,1.745692065
6,0.5,150,0.992256411,0.743801653,90,8,23,1.736058064
7,0.5,175,0.991668325,0.719008264,87,8,26,1.710676589
8,0.5,200,0.991541582,0.708333333,85,7,28,1.699874915
9,0.5,225,0.990905692,0.694915254,82,5,31,1.685820947
10,0.5,250,0.990831924,0.64957265,76,4,37,1.640404574
11,0.5,275,0.990262982,0.594827586,69,3,44,1.585090568
12,0.5,300,0.989346336,0.543103448,63,3,50,1.532449784
13,0.6,0,0.98318072,0.538461538,98,75,9,1.521642259
14,0.6,25,0.98318072,0.636363636,98,46,10,1.619544357
15,0.6,50,0.985474775,0.718518519,97,26,12,1.703993294
16,0.6,75,0.984866056,0.755905512,96,17,14,1.740771568
17,0.6,100,0.984866056,0.780487805,96,12,15,1.765353861
18,0.6,125,0.99475262,0.764227642,94,10,19,1.758980262
19,0.6,150,0.994514665,0.739837398,91,10,22,1.734352063
20,0.6,175,0.994792949,0.721311475,88,9,25,1.716104424
21,0.6,200,0.994572268,0.702479339,85,8,28,1.697051607
22,0.6,225,0.994542529,0.7,84,7,29,1.694542529
23,0.6,250,0.994989156,0.647058824,77,6,36,1.642047979
24,0.6,275,0.994786318,0.606837607,71,4,42,1.601623925
25,0.6,300,0.994162516,0.534482759,62,3,51,1.528645275
26,0.7,0,0.973945679,0.524324324,97,78,10,1.498270004
27,0.7,25,0.969036283,0.633986928,97,45,11,1.603023211
28,0.7,50,0.957055749,0.708029197,97,28,12,1.665084946
29,0.7,75,0.967091611,0.761904762,96,16,14,1.728996372
30,0.7,100,0.967091611,0.780487805,96,12,15,1.747579415
31,0.7,125,0.974386884,0.778688525,95,9,18,1.753075409
32,0.7,150,0.976497741,0.760330579,92,8,21,1.736828319
33,0.7,175,0.974267814,0.727272727,88,8,25,1.701540541
34,0.7,200,0.973810751,0.716666667,86,7,27,1.690477417
35,0.7,225,0.972918585,0.705882353,84,6,29,1.678800938
36,0.7,250,0.971292989,0.647058824,77,6,36,1.618351813
37,0.7,275,0.96900826,0.605042017,72,6,41,1.574050277
38,0.7,300,0.966016873,0.576271186,68,5,45,1.542288059
39,0.8,0,0.973911448,0.521505376,97,79,10,1.495416824
40,0.8,25,0.969009521,0.613924051,97,49,12,1.582933572
41,0.8,50,0.957040678,0.713235294,97,27,12,1.670275973
42,0.8,75,0.96707933,0.768,96,15,14,1.73507933
43,0.8,100,0.974370905,0.772357724,95,12,16,1.746728628
44,0.8,125,0.976587805,0.776859504,94,8,19,1.753447309
45,0.8,150,0.976115143,0.760330579,92,8,21,1.736445721
46,0.8,175,0.974248481,0.727272727,88,8,25,1.701521209
47,0.8,200,0.973813436,0.716666667,86,7,27,1.690480103
48,0.8,225,0.973679909,0.708333333,85,7,28,1.682013242
49,0.8,250,0.971285651,0.655462185,78,6,35,1.626747836
50,0.8,275,0.969738259,0.613445378,73,6,40,1.583183637
51,0.8,300,0.965171876,0.56302521,67,6,46,1.528197086
52,0.9,0,0.975192423,0.515957447,97,81,10,1.49114987
53,0.9,25,0.969050864,0.621794872,97,48,11,1.590845736
54,0.9,50,0.956993534,0.718518519,97,26,12,1.675512053
55,0.9,75,0.966982156,0.780487805,96,13,14,1.747469961
56,0.9,100,0.974215756,0.772357724,95,12,16,1.746573479
57,0.9,125,0.976839721,0.768595041,93,8,20,1.745434762
58,0.9,150,0.976839721,0.768595041,93,8,20,1.745434762
59,0.9,175,0.974122601,0.73553719,89,8,24,1.709659791
60,0.9,200,0.973785078,0.725,87,7,26,1.698785078
61,0.9,225,0.973541566,0.708333333,85,7,28,1.681874899
62,0.9,250,0.972653065,0.663865546,79,6,34,1.636518611
63,0.9,275,0.967937429,0.605042017,72,6,41,1.572979446
64,0.9,300,0.965166545,0.56302521,67,6,46,1.528191755
