,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.1,1,0.9974068945818483,0.40384615384615385,21,28,3
1,0.1,2,0.9974068945818483,0.4117647058823529,21,27,3
2,0.1,3,0.9974068945818483,0.42857142857142855,21,25,3
3,0.1,4,0.9974068945818483,0.4666666666666667,21,21,3
4,0.1,5,0.9974068945818483,0.5,21,18,3
5,0.1,6,0.9974068945818483,0.525,21,16,3
6,0.1,7,0.9974068945818483,0.6,21,11,3
7,0.1,8,0.9974068945818483,0.6176470588235294,21,10,3
8,0.1,9,0.9974068945818483,0.65625,21,8,3
9,0.1,10,0.9974068945818483,0.6774193548387096,21,7,3
10,0.1,11,0.9974068945818483,0.7241379310344828,21,5,3
11,0.1,12,0.9974068945818483,0.75,21,4,3
12,0.1,13,0.9974068945818483,0.75,21,4,3
13,0.1,14,0.9974068945818483,0.75,21,4,3
14,0.1,15,0.9974068945818483,0.75,21,4,3
15,0.1,16,0.9974068945818483,0.75,21,4,3
16,0.1,17,0.9974068945818483,0.7777777777777778,21,3,3
17,0.1,18,0.9974068945818483,0.8076923076923077,21,2,3
18,0.1,19,0.9974068945818483,0.8076923076923077,21,2,3
19,0.1,20,0.9974068945818483,0.8076923076923077,21,2,3
20,0.1,21,0.9974068945818483,0.8076923076923077,21,2,3
21,0.1,22,0.9974068945818483,0.8076923076923077,21,2,3
22,0.1,23,0.9974068945818483,0.8076923076923077,21,2,3
23,0.1,24,0.9974068945818483,0.8076923076923077,21,2,3
24,0.1,25,0.9974068945818483,0.8076923076923077,21,2,3
25,0.1,26,0.9972272953241685,0.7692307692307693,20,2,4
26,0.1,27,0.9971115564520325,0.7307692307692307,19,2,5
27,0.1,28,0.9971115564520325,0.7307692307692307,19,2,5
28,0.1,29,0.9970863651514711,0.6923076923076923,18,2,6
29,0.1,30,0.9970863651514711,0.72,18,1,6
30,0.1,31,0.9970729552805367,0.68,17,1,7
31,0.1,32,0.9965976514659299,0.64,16,1,8
32,0.1,33,0.996651482387947,0.6,15,1,9
33,0.1,34,0.996651482387947,0.625,15,0,9
34,0.1,35,0.996651482387947,0.625,15,0,9
35,0.1,36,0.996651482387947,0.625,15,0,9
36,0.1,37,0.996651482387947,0.625,15,0,9
37,0.1,38,0.9958625242401361,0.5833333333333334,14,0,10
38,0.1,39,0.9958625242401361,0.5833333333333334,14,0,10
39,0.1,40,0.9958625242401361,0.5833333333333334,14,0,10
40,0.1,41,0.9958625242401361,0.5833333333333334,14,0,10
41,0.1,42,0.9958625242401361,0.5833333333333334,14,0,10
42,0.1,43,0.9958625242401361,0.5833333333333334,14,0,10
43,0.1,44,0.9957461567084148,0.5416666666666666,13,0,11
44,0.1,45,0.9955607411157901,0.5,12,0,12
45,0.1,46,0.9929768851797477,0.4583333333333333,11,0,13
46,0.1,47,0.9929768851797477,0.4583333333333333,11,0,13
47,0.1,48,0.9929768851797477,0.4583333333333333,11,0,13
48,0.1,49,0.9961514995225116,0.375,9,0,15
49,0.1,50,0.9977108094818405,0.3333333333333333,8,0,16
50,0.2,1,0.9980848563202408,0.3684210526315789,21,33,3
51,0.2,2,0.9980848563202408,0.3684210526315789,21,33,3
52,0.2,3,0.9980848563202408,0.38181818181818183,21,31,3
53,0.2,4,0.9980848563202408,0.3888888888888889,21,30,3
54,0.2,5,0.9980848563202408,0.4117647058823529,21,27,3
55,0.2,6,0.9980848563202408,0.4666666666666667,21,21,3
56,0.2,7,0.9980848563202408,0.4772727272727273,21,20,3
57,0.2,8,0.9980848563202408,0.5121951219512195,21,17,3
58,0.2,9,0.9980848563202408,0.5833333333333334,21,12,3
59,0.2,10,0.9980848563202408,0.6363636363636364,21,9,3
60,0.2,11,0.9980848563202408,0.6363636363636364,21,9,3
61,0.2,12,0.9980848563202408,0.65625,21,8,3
62,0.2,13,0.9980848563202408,0.6774193548387096,21,7,3
63,0.2,14,0.9980848563202408,0.7,21,6,3
64,0.2,15,0.9980848563202408,0.7241379310344828,21,5,3
65,0.2,16,0.9980848563202408,0.75,21,4,3
66,0.2,17,0.9980848563202408,0.75,21,4,3
67,0.2,18,0.9980848563202408,0.75,21,4,3
68,0.2,19,0.9980848563202408,0.75,21,4,3
69,0.2,20,0.9980848563202408,0.75,21,4,3
70,0.2,21,0.9980848563202408,0.75,21,4,3
71,0.2,22,0.9980848563202408,0.7777777777777778,21,3,3
72,0.2,23,0.9980848563202408,0.7777777777777778,21,3,3
73,0.2,24,0.9980848563202408,0.7777777777777778,21,3,3
74,0.2,25,0.9981517409602775,0.7407407407407407,20,3,4
75,0.2,26,0.9981517409602775,0.7407407407407407,20,3,4
76,0.2,27,0.9981517409602775,0.7407407407407407,20,3,4
77,0.2,28,0.9981517409602775,0.7407407407407407,20,3,4
78,0.2,29,0.9981517409602775,0.7407407407407407,20,3,4
79,0.2,30,0.9981517409602775,0.7692307692307693,20,2,4
80,0.2,31,0.9981517409602775,0.7692307692307693,20,2,4
81,0.2,32,0.9981517409602775,0.7692307692307693,20,2,4
82,0.2,33,0.9981517409602775,0.7692307692307693,20,2,4
