Index,TrackID,#splits,Mitotic Start,Mitotic End
1,1,1,55,60
2,2,1,43,47
3,3,2,5,8
4,3,2,118,122
5,5,2,28,32
6,5,2,122,126
7,7,1,90,94
8,14,1,42,45
9,18,1,46,51
10,22,1,77,80
11,23,1,112,116
12,24,1,84,89
13,25,1,63,68
14,26,1,77,81
15,27,1,57,62
16,29,1,86,89
17,30,1,11,15
18,31,1,102,110
19,32,1,99,103
20,33,1,98,102
21,35,1,47,50
22,37,1,35,37
23,42,1,103,105
24,43,1,79,85
25,45,1,120,125
26,46,1,99,103
27,47,1,94,97
28,48,1,76,78
29,49,1,110,113
30,50,1,62,66
31,52,1,37,43
32,53,2,6,9
33,53,2,100,109
34,54,1,69,72
35,55,1,21,24
36,59,1,79,84
37,60,1,2,5
38,61,1,119,123
39,63,2,24,28
40,63,2,128,130
41,64,1,116,119
42,65,1,95,101
43,66,2,37,39
44,66,2,135,138
45,68,1,88,91
46,76,1,85,87
47,78,1,85,91
48,79,1,93,99
49,80,1,102,107
50,81,1,64,67
51,82,2,8,11
52,82,2,100,106
53,84,1,99,106
54,88,1,111,117
55,91,1,88,91
56,93,1,108,112
57,94,1,22,25
58,95,1,91,102
59,96,1,100,105
60,97,1,82,85
61,98,1,70,74
62,104,1,60,63
63,105,1,94,98
64,106,2,5,7
65,106,2,108,112
66,107,1,20,23
67,113,1,35,38
68,114,1,14,17
69,117,1,91,95
70,118,1,72,75
71,121,1,99,101
72,123,1,35,39
73,129,1,30,36
74,132,1,76,81
75,133,1,17,20
76,134,1,34,42
77,139,1,73,78
78,142,1,13,16
79,143,1,66,68
80,152,1,19,21
81,160,1,20,22
82,163,1,43,46
83,166,1,19,22
84,168,1,11,13
85,172,1,45,49
86,187,1,22,25
87,188,1,34,39
88,193,1,23,27
89,194,1,33,40
