,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing,Score
0,0.5,0,0.991409988,0.389162562,79,108,16,1.38057255
1,0.5,500,0.991409988,0.473053892,79,72,16,1.464463881
2,0.5,1000,0.991409988,0.585185185,79,39,17,1.576595174
3,0.5,1500,0.998787583,0.702702703,78,15,18,1.701490286
4,0.5,2000,0.998578375,0.700934579,75,11,21,1.699512955
5,0.5,2500,0.998578375,0.714285714,75,9,21,1.712864089
6,0.5,3000,0.998535868,0.725490196,74,5,23,1.724026064
7,0.5,3500,0.998592668,0.683168317,69,4,28,1.681760985
8,0.5,4000,0.998559026,0.68,68,3,29,1.678559026
9,0.5,4500,0.998841228,0.62,62,3,35,1.618841228
10,0.5,5000,0.998912589,0.575757576,57,2,40,1.574670165
11,0.6,0,0.988029412,0.391089109,79,107,16,1.379118521
12,0.6,500,0.988029412,0.456647399,79,78,16,1.444676811
13,0.6,1000,0.988029412,0.564285714,79,44,17,1.552315126
14,0.6,1500,0.988029412,0.699115044,79,17,17,1.687144456
15,0.6,2000,0.994358832,0.703703704,76,12,20,1.698062536
16,0.6,2500,0.994358832,0.716981132,76,10,20,1.711339965
17,0.6,3000,0.994075709,0.721153846,75,7,22,1.715229555
18,0.6,3500,0.993800011,0.702970297,71,4,26,1.696770308
19,0.6,4000,0.993565802,0.683168317,69,4,28,1.676734119
20,0.6,4500,0.998862213,0.62,62,3,35,1.618862213
21,0.6,5000,0.998953505,0.585858586,58,2,39,1.584812091
22,0.7,0,0.998601999,0.389162562,79,108,16,1.38776456
23,0.7,500,0.998601999,0.459302326,79,76,17,1.457904324
24,0.7,1000,0.998601999,0.568345324,79,43,17,1.566947322
25,0.7,1500,0.998601999,0.669491525,79,22,17,1.668093524
26,0.7,2000,0.998437168,0.7,77,14,19,1.698437168
27,0.7,2500,0.998437168,0.712962963,77,12,19,1.711400131
28,0.7,3000,0.998410864,0.716981132,76,9,21,1.715391996
29,0.7,3500,0.998361721,0.725490196,74,5,23,1.723851918
30,0.7,4000,0.998468094,0.693069307,70,4,27,1.691537401
31,0.7,4500,0.99851108,0.64,64,3,33,1.63851108
32,0.7,5000,0.99886457,0.602040816,59,1,38,1.600905386
33,0.8,0,0.998639108,0.393034826,79,106,16,1.391673933
34,0.8,500,0.998639108,0.461988304,79,76,16,1.460627412
35,0.8,1000,0.998639108,0.552447552,79,47,17,1.55108666
36,0.8,1500,0.998639108,0.669491525,79,22,17,1.668130633
37,0.8,2000,0.998639108,0.711711712,79,15,17,1.710350819
38,0.8,2500,0.998495593,0.712962963,77,12,19,1.711458556
39,0.8,3000,0.998480415,0.723809524,76,9,20,1.722289939
40,0.8,3500,0.998434782,0.735294118,75,5,22,1.733728899
41,0.8,4000,0.998565406,0.696078431,71,5,26,1.694643837
42,0.8,4500,0.998627842,0.676767677,67,2,30,1.675395519
43,0.8,5000,0.999011246,0.616161616,61,2,36,1.615172862
44,0.9,0,0.998608673,0.393034826,79,106,16,1.391643499
45,0.9,500,0.998608673,0.467455621,79,74,16,1.466064294
46,0.9,1000,0.998608673,0.556338028,79,46,17,1.554946701
47,0.9,1500,0.998608673,0.675213675,79,21,17,1.673822348
48,0.9,2000,0.998608673,0.711711712,79,15,17,1.710320385
49,0.9,2500,0.998460945,0.712962963,77,12,19,1.711423908
50,0.9,3000,0.998422808,0.723809524,76,9,20,1.722232332
51,0.9,3500,0.998407678,0.735294118,75,5,22,1.733701795
52,0.9,4000,0.998539899,0.702970297,71,4,26,1.701510196
53,0.9,4500,0.998556726,0.69,69,3,28,1.688556726
54,0.9,5000,0.998987245,0.606060606,60,2,37,1.605047851
