,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.1,1,0.9995703068672877,0.3305785123966942,40,79,2
1,0.1,2,0.9995703068672877,0.3669724770642202,40,67,2
2,0.1,3,0.9995703068672877,0.40816326530612246,40,56,2
3,0.1,4,0.9995703068672877,0.43956043956043955,40,49,2
4,0.1,5,0.9995703068672877,0.4878048780487805,40,40,2
5,0.1,6,0.9995703068672877,0.5405405405405406,40,32,2
6,0.1,7,0.9995703068672877,0.547945205479452,40,31,2
7,0.1,8,0.9995642219357224,0.582089552238806,39,25,3
8,0.1,9,0.9995642219357224,0.6610169491525424,39,17,3
9,0.1,10,0.99953725012542,0.6785714285714286,38,14,4
10,0.1,11,0.99953725012542,0.6785714285714286,38,14,4
11,0.1,12,0.99953725012542,0.7037037037037037,38,12,4
12,0.1,13,0.99953725012542,0.7307692307692307,38,10,4
13,0.1,14,0.99953725012542,0.7307692307692307,38,10,4
14,0.1,15,0.99953725012542,0.7307692307692307,38,10,4
15,0.1,16,0.99953725012542,0.7307692307692307,38,10,4
16,0.1,17,0.99953725012542,0.7307692307692307,38,10,4
17,0.1,18,0.99953725012542,0.7307692307692307,38,10,4
18,0.1,19,0.99953725012542,0.7450980392156863,38,9,4
19,0.1,20,0.99953725012542,0.7450980392156863,38,9,4
20,0.1,21,0.99953725012542,0.7450980392156863,38,9,4
21,0.1,22,0.99953725012542,0.7450980392156863,38,9,4
22,0.1,23,0.9995141320528454,0.7551020408163265,37,7,5
23,0.1,24,0.9995141320528454,0.7551020408163265,37,7,5
24,0.1,25,0.9995141320528454,0.7551020408163265,37,7,5
25,0.1,26,0.9995141320528454,0.7708333333333334,37,6,5
26,0.1,27,0.9995141320528454,0.7708333333333334,37,6,5
27,0.1,28,0.9995141320528454,0.7872340425531915,37,5,5
28,0.1,29,0.9995141320528454,0.7872340425531915,37,5,5
29,0.1,30,0.9995141320528454,0.7872340425531915,37,5,5
30,0.1,31,0.9995141320528454,0.7872340425531915,37,5,5
31,0.1,32,0.9995141320528454,0.7872340425531915,37,5,5
32,0.1,33,0.9995127652936054,0.7659574468085106,36,5,6
33,0.1,34,0.9995127652936054,0.7659574468085106,36,5,6
34,0.1,35,0.9995127652936054,0.7659574468085106,36,5,6
35,0.1,36,0.9995214136045509,0.7446808510638298,35,5,7
36,0.1,37,0.9995214136045509,0.7446808510638298,35,5,7
37,0.1,38,0.9995214136045509,0.7446808510638298,35,5,7
38,0.1,39,0.9995214136045509,0.7446808510638298,35,5,7
39,0.1,40,0.9995214136045509,0.7608695652173914,35,4,7
40,0.1,41,0.9995214136045509,0.7608695652173914,35,4,7
41,0.1,42,0.9995214136045509,0.7777777777777778,35,3,7
42,0.1,43,0.9995214136045509,0.7777777777777778,35,3,7
43,0.1,44,0.9995214136045509,0.7777777777777778,35,3,7
44,0.1,45,0.9995203888730069,0.7555555555555555,34,3,8
45,0.1,46,0.9995203888730069,0.7555555555555555,34,3,8
46,0.1,47,0.9995109957588588,0.7333333333333333,33,3,9
47,0.1,48,0.9995109957588588,0.7333333333333333,33,3,9
48,0.1,49,0.9995054703236645,0.7111111111111111,32,3,10
49,0.1,50,0.9994701719520073,0.6888888888888889,31,3,11
50,0.2,1,0.9995002044573655,0.29850746268656714,40,92,2
51,0.2,2,0.9995002044573655,0.3389830508474576,40,76,2
52,0.2,3,0.9995002044573655,0.37037037037037035,40,66,2
53,0.2,4,0.9995002044573655,0.38461538461538464,40,62,2
54,0.2,5,0.9995002044573655,0.43478260869565216,40,50,2
55,0.2,6,0.9995002044573655,0.5063291139240507,40,37,2
56,0.2,7,0.9995002044573655,0.5333333333333333,40,33,2
57,0.2,8,0.9995002044573655,0.5633802816901409,40,29,2
58,0.2,9,0.9995002044573655,0.5797101449275363,40,27,2
59,0.2,10,0.9995002044573655,0.6060606060606061,40,24,2
60,0.2,11,0.9995002044573655,0.6666666666666666,40,18,2
