LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID17472,17472,0,9.821453094482422,329.30520760310696,44.33270742695065,0.0,8736.4811677,13,7.5,1,,16814.320830929024,16826.0,15767.0,17897.0,2.9139218E7,385.2708411320027,0.0217471724274643,1.8578153112164122
ID17408,17408,0,9.429338455200195,333.13010408064775,46.245621640075484,0.0,12768.703245100001,19,7.5,1,,16752.00115406809,16770.0,15720.0,17656.0,2.9031218E7,358.4752689857667,0.020463600500234682,1.8742262711221482
ID17290,17290,0,9.645383834838867,324.2677742715162,38.4260876225802,0.0,4032.2220774,6,7.5,1,,16913.732256203115,16930.0,15658.0,17863.0,2.9311498E7,390.69377192628116,0.020032892865128105,1.7004444569166874
ID18123,18123,0,9.463224411010742,340.5659298356278,48.88855888237576,0.0,28897.5915547,43,7.5,1,,16597.723023658396,16614.0,15481.0,17474.0,2.8763854E7,307.0472718750485,0.02234395979024066,2.3628511914856785
ID17936,17936,0,9.550365447998047,337.32089137198295,49.26477227854969,0.0,20161.110387,30,7.5,1,,16733.668782458164,16750.0,15727.0,17963.0,2.8999448E7,355.1945681238262,0.02131910617034114,1.9668098947279786
ID18000,18000,0,9.301321029663086,340.68954461649724,50.923986846552346,0.0,25537.406490200003,38,7.5,1,,16626.89382573572,16632.0,15622.0,17513.0,2.8814407E7,305.5814985088419,0.021335274005899553,2.273233022580213
ID17233,17233,0,9.822466850280762,326.3941575963075,40.945782875109614,0.0,5376.2961032,8,7.5,1,,16913.70975187536,16946.0,15702.0,17971.0,2.9311459E7,400.44753327784446,0.020621814508606097,1.7068103823963112
ID17874,17874,0,9.333828926086426,338.44644015694826,49.36396540388514,0.0,20833.1473999,31,7.5,1,,16703.82515868436,16706.0,15570.0,17568.0,2.8947729E7,336.99428626323254,0.02046614162531341,1.9882032030921823
ID17811,17811,0,9.689863204956055,334.84142233652483,48.11512905805877,0.0,16128.8883096,24,7.5,1,,16765.58049624928,16778.0,15586.0,17922.0,2.9054751E7,377.4014531303859,0.021397787546207643,1.8613111596516076
ID17747,17747,0,9.499677658081055,336.68611490966344,48.03119300324401,0.0,16800.9253225,25,7.5,1,,16740.21292556261,16750.0,15513.0,17801.0,2.9010789E7,370.6103327273651,0.021078495552726277,1.8648930506391288
ID17556,17556,0,9.608649253845215,331.5282214240671,44.94388360044134,0.0,11424.6292193,17,7.5,1,,16773.671090594344,16793.0,15751.0,17759.0,2.9068772E7,373.31839938846105,0.02097318710167409,1.8459877632426982
ID17493,17493,0,9.740020751953125,328.0972579300703,43.115307085450524,0.0,7392.4071419,11,7.5,1,,16845.27409117138,16864.0,15518.0,17868.0,2.919286E7,394.3703585217062,0.020805479479790244,1.7411594671641122
ID17685,17685,0,9.807392120361328,333.2447582285394,46.83260344156707,0.0,14784.8142838,22,7.5,1,,16747.244662435085,16748.0,15709.0,17845.0,2.9022975E7,373.18853801989536,0.021792060024137652,1.9141714174221849
ID17621,17621,0,9.612730979919434,336.0127593890422,47.840255113386014,0.0,17472.9623354,26,7.5,1,,16746.35718407386,16747.0,15737.0,17782.0,2.9021437E7,364.689111093317,0.021227697865396713,1.9090084985650817
ID17430,17430,0,9.764217376708984,328.5044882573487,43.79432342549045,0.0,8064.4441548,12,7.5,1,,16827.97461050202,16842.0,15548.0,17805.0,2.916288E7,394.16385679850384,0.021102112982726372,1.764581875190458
ID17369,17369,0,9.552578926086426,325.9062590783603,41.19398283893631,0.0,4704.2590903,7,7.5,1,,16937.73398730525,16935.0,15802.0,18005.0,2.9353093E7,382.21080810095435,0.019407296515365845,1.6873285044993096
ID17310,17310,0,9.58638858795166,326.76395825807316,41.73263900469344,0.0,6048.333116100001,9,7.5,1,,16871.035199076745,16892.0,15735.0,17881.0,2.9237504E7,381.80450275174917,0.020315617841381785,1.7596495452294345
ID18206,18206,0,9.336048126220703,341.00387340807873,50.3273087343944,0.0,26881.480516000003,40,7.5,1,,16632.771494518176,16633.0,15738.0,17461.0,2.8824593E7,314.5593030660482,0.02148272967560203,2.224080580459015
ID18081,18081,0,9.476223945617676,342.37658281442805,49.59724286711975,0.0,27553.5175289,41,7.5,1,,16630.19330640508,16629.0,15705.0,17620.0,2.8820125E7,309.5947252528077,0.022123000456153466,2.3252765264888566
ID17315,17315,0,9.897363662719727,327.36117750923404,37.74940246592038,0.0,2016.1110387,3,7.5,1,,17100.61050201962,17120.0,15867.0,18177.0,2.9635358E7,402.6463485957,0.0202792364303695,1.6883030147151357
ID17253,17253,0,10.030200958251953,327.12695762915894,38.619866148442824,0.0,2688.1480516,4,7.5,1,,17105.02423542989,17136.0,15839.0,18212.0,2.9643007E7,415.0596266063867,0.02067370903422938,1.6694548184424292
ID18021,18021,0,9.374458312988281,339.02550119889827,49.14875686715519,0.0,21505.1844128,32,7.5,1,,16650.719561454127,16655.0,15640.0,17541.0,2.8855697E7,332.2976173977388,0.02110215173983606,2.071063070910156
ID17957,17957,0,9.354254722595215,339.1961402850999,50.216816477098476,0.0,22849.2584386,34,7.5,1,,16663.526832083095,16664.0,15625.0,17523.0,2.8877892E7,318.20180025044783,0.02133211877454445,2.187566639616851
