LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID11777,11777,0,8.934582710266113,643.3279231104906,19.16090351490293,0.0,38978.1467482,58,7.5,1,,11620.478938257356,11605.0,10207.0,13075.0,2.013829E7,552.9814949572486,32772.24120023081,32564.0,26823.0,38707.0,5.6794294E7,2507.512997253703,0.03251164325548705,1.3233885975594883,-0.012101760045207173,-0.3202058567832423
ID9987,9987,0,20.30657958984375,630.3840643137595,19.712214277588732,0.0,4704.2590903,7,7.5,1,,13480.559145989613,13160.0,11313.0,17837.0,2.3361809E7,1426.5947571568945,32979.69532602424,32517.0,21875.0,47941.0,5.7153812E7,5922.293850735899,0.07568629786455118,1.3297466480394715,-0.00384385397323852,-0.04297601518135599
ID9988,9988,0,19.953113555908203,631.3841444622087,20.963481347720307,0.0,5376.2961032,8,7.5,1,,13494.601269474899,13124.0,11466.0,17152.0,2.3386144E7,1369.0851624885115,36088.34852856318,34287.0,23661.0,57375.0,6.2541108E7,7426.465243543639,0.07424267677740584,1.3624193673250935,0.053101236584223103,0.4900601213064474
ID13316,13316,0,8.562406539916992,643.6332766215116,24.415417261665883,0.0,71235.9233674,106,7.5,1,,11603.100403923832,11696.0,10160.0,13040.0,2.0108173E7,481.90983755248243,30321.618003462205,30419.0,24281.0,35400.0,5.2547364E7,1826.2504661408973,0.03396653448320842,1.5819145138961224,-0.029012756316216918,-0.9921960503223216
ID10248,10248,0,12.463909149169922,643.5823537681672,16.93855118893548,0.0,12096.666232200001,18,7.5,1,,12077.395268320832,12019.0,10480.0,13846.0,2.0930126E7,801.1866222070013,31239.36295441431,31024.0,21741.0,40495.0,5.4137816E7,4179.0201250948585,0.04570727557923833,1.3177857064805807,-0.03350700448497532,-0.5183159756145875
ID11529,11529,0,8.634160041809082,640.6100593898054,22.375990140542843,0.0,34273.8876579,51,7.5,1,,11849.566070398154,11839.0,10590.0,13185.0,2.0535298E7,526.2213768581016,32098.427582227352,31802.0,26507.0,37333.0,5.5626575E7,2259.4653368968334,0.02933085768111908,1.2833163461975403,-0.023506246148027408,-0.6839461047785512
ID13066,13066,0,7.1540021896362305,640.1908034513383,22.821627614326307,0.0,64515.5532384,96,7.5,1,,11458.474321984997,11476.0,10240.0,12470.0,1.9857536E7,437.5651426971059,31636.421234852856,31459.0,28055.0,35946.0,5.4825918E7,1374.59126708926,0.021035606973036008,1.0790168676156944,-0.021576864648121464,-1.015091961561486
