Cell#, multipolar division1, multipolar division2, multipolar division3,mitosis1,division1,cytokinesis failure 1,mitosis2,division2,cytokinesis failure2,mitosis3,division3,cytokinesis failure3,slippage1,slippage2,slippage3,apoptosis,Of of View,END,Remarks
Cell#1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,50,0,0,Remarks: 
Cell#2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,65,0,0,Remarks: 
Cell#3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,45,0,0,Remarks: 
Cell#4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,66,0,0,Remarks: 
Cell#5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,Remarks: 
Cell#6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,58,0,0,Remarks: 
Cell#7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,50,0,0,Remarks: 
Cell#8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,35,0,0,Remarks: 
Cell#9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,49,0,0,Remarks: 
Cell#10,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,56,0,0,Remarks: 
Cell#11,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,47,0,0,Remarks: 
Cell#12,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,50,0,0,Remarks: 
Cell#13,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,53,0,0,Remarks: 
Cell#14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,Remarks: 
Cell#15,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,65,0,0,Remarks: 
Cell#16,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,45,0,0,Remarks: 
Cell#17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,Remarks: 
Cell#18,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,24,0,0,Remarks: 
Cell#19,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,65,0,0,Remarks: 
Cell#20,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,56,0,0,Remarks: 
Cell#21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,0,0,Remarks: 
Cell#22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,32,0,0,Remarks: 
Cell#23,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,43,0,0,Remarks: 
Cell#24,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,45,0,0,Remarks: 
Cell#25,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,43,0,0,Remarks: 
Cell#26,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,49,0,0,Remarks: 
Cell#27,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,42,0,0,Remarks: 
