LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2688,2688,0,3.9349775314331055,576.8747857538499,30.12162647132444,0.0,4198.3587303,7,14.999999999999998,1,,1443.1313609467456,1336.0,1193.0,2111.0,1219446.0,220.7988577132102,0.060464467958344675,0.7453206466614128
ID3233,3233,0,3.8981313705444336,567.7470201564788,16.429978075267876,0.0,8396.7174606,14,14.999999999999998,1,,1424.4650887573964,1300.0,1142.0,2032.0,1203673.0,236.1375819448809,0.14020473270334324,1.4835306667884196
ID3425,3425,0,4.570323944091797,566.8342435967418,0.0,0.0,9596.2485264,16,14.999999999999998,1,,1005.5988165680474,1234.0,0.0,2088.0,849731.0,709.2605579743754,0.18496725359957084,0.4426265282101035
ID3234,3234,0,3.77984881401062,566.8342435967418,9.127765597371042,0.0,8996.4829935,15,14.999999999999998,1,,1394.196449704142,1291.0,0.0,2091.0,1178096.0,297.97160912610514,0.22961286967123798,1.7474586514218269
ID3235,3235,0,4.114405155181885,572.3109029551644,21.906637433690502,0.0,6597.4208619,11,14.999999999999998,1,,1433.5278106508877,1314.0,1143.0,2177.0,1211331.0,245.51368094535673,0.08681533700710718,0.9328270210093362
ID3236,3236,0,4.085939407348633,577.787562313587,24.644967112901814,0.0,5997.655329,10,14.999999999999998,1,,1436.775147928994,1321.0,1162.0,2088.0,1214075.0,234.63498746718932,0.07031185710978549,0.8045337419967891
ID3173,3173,0,4.0851006507873535,578.7003388733241,29.208849911587336,0.0,4798.1242632,8,14.999999999999998,1,,1444.6934911242604,1335.0,1169.0,2099.0,1220766.0,231.99558138003243,0.06303795172476795,0.7385490130734047
ID2629,2629,0,3.953125,568.659796716216,38.33661550895838,0.0,599.7655329,1,14.999999999999998,1,,1453.498224852071,1350.0,1155.0,2134.0,1228206.0,228.6528993853326,0.05853259725058037,0.7030097486862891
ID3237,3237,0,4.6930999755859375,570.4853498356902,0.0,0.0,10196.014059300001,17,14.999999999999998,1,,1002.7420118343196,1231.0,0.0,2045.0,847317.0,704.2604535566486,0.18539572890226277,0.4453713449109981
ID4037,4037,0,4.282278060913086,571.3981263954273,0.0,0.0,11995.310658,20,14.999999999999998,1,,950.1680473372782,1189.0,0.0,2249.0,802892.0,678.4174085748676,0.16195725170977554,0.3904304502017223
ID3814,3814,0,3.6396777629852295,572.3109029551644,10.953318716845251,0.0,10795.7795922,18,14.999999999999998,1,,1413.1562130177515,1298.0,1023.0,2025.0,1194117.0,235.9519073514732,0.21335173014532327,2.1062316320766348
ID3111,3111,0,4.115764617919922,575.9620091941127,27.38329679211313,0.0,5397.8897961,9,14.999999999999998,1,,1443.9065088757397,1331.0,1169.0,2111.0,1220101.0,234.9530446539935,0.06425682840009449,0.7420972683793425
ID3751,3751,0,4.09488582611084,570.4853498356902,20.9938608739534,0.0,7796.951927700001,13,14.999999999999998,1,,1431.6639053254437,1310.0,1156.0,2100.0,1209756.0,233.19130154245065,0.0947384080157872,1.0626113548631113
ID3498,3498,0,3.9146554470062256,572.3109029551644,2.7383296792113128,0.0,11395.545125100001,19,14.999999999999998,1,,1135.5917159763314,1257.0,0.0,1996.0,959575.0,610.1560286641272,0.211549501211214,0.6499532912132413
ID3051,3051,0,3.864309787750244,570.4853498356902,36.51106238948417,0.0,1199.5310658,2,14.999999999999998,1,,1449.2970414201184,1349.0,1191.0,2147.0,1224656.0,215.93361836136074,0.058249396481206576,0.7388742638157318
ID2991,2991,0,3.974658966064453,576.8747857538499,31.947179590798648,0.0,3598.5931974000005,6,14.999999999999998,1,,1445.0650887573966,1343.0,1190.0,2123.0,1221080.0,217.9397809673633,0.06187594808482909,0.7727321417516795
ID2931,2931,0,3.8814845085144043,575.0492326343757,33.772732710272855,0.0,2399.0621316,4,14.999999999999998,1,,1446.4224852071006,1351.0,1178.0,2117.0,1222227.0,212.23360824836334,0.06039974303458126,0.7763838263229884
ID3254,3254,0,4.095931529998779,572.3109029551644,20.9938608739534,0.0,7197.186394800001,12,14.999999999999998,1,,1430.7313609467456,1314.0,1151.0,2120.0,1208968.0,238.94927979860822,0.0938990036933275,1.027936113624072
ID2871,2871,0,3.906452178955078,575.0492326343757,32.85995615053575,0.0,2998.8276645,5,14.999999999999998,1,,1442.5562130177516,1342.0,1196.0,2075.0,1218960.0,216.61026706060883,0.05980129897414616,0.7515707567800003
ID2809,2809,0,4.101430892944336,569.572573275953,39.249392068695485,0.0,0.0,0,14.999999999999998,1,,1460.607100591716,1351.0,1116.0,2111.0,1234213.0,242.66715438398433,0.05974458899266034,0.6786561293702825
ID2750,2750,0,3.8476715087890625,573.2236795149015,35.59828582974706,0.0,1799.2965987000002,3,14.999999999999998,1,,1448.3727810650887,1352.0,1204.0,2040.0,1223875.0,209.00495349456668,0.05860576108837026,0.7672905126210943
ID2689,2689,1,3.307420015335083,378.80227229089826,33.772732710272855,0.0,4198.3587303,7,14.999999999999998,1,,1440.3869822485208,1370.0,1208.0,1791.0,1217127.0,150.78359487810928,0.05446123265933753,0.9867609159248888
ID5378,5378,1,2.650728940963745,429.004983076439,27.38329679211313,0.0,23390.8557831,39,14.999999999999998,1,,1351.4686390532545,1295.0,1139.0,1773.0,1141991.0,139.3597513875327,0.04029483165672552,0.7512621519486561
